愛;あい;love
鑑賞;かんしょう;appreciation
勘定;かんじょう;calculation, settlement of an account, allowance
感情;かんじょう;emotion(s), feeling(s), sentiment
感じる;かんじる;feel, sense, experience
感ずる;かんずる;feel, sense
感心;かんしん;admiration, Well done! 
関心;かんしん;concern, interest
関する;かんする;concern, be related
完成;かんせい;complete, completion, perfection, accomplishment
間接;かんせつ;indirectness
完全;かんぜん;perfection, completeness
乾燥;かんそう;dry, arid, dehydrated, insipid
感想;かんそう;impressions, thoughts
観測;かんそく;observation
寒帯;かんたい;frigid zone
官庁;かんちょう;government office, authorities
勘違い;かんちがい;misunderstanding, wrong guess
缶詰;かんづめ;canning, canned goods, tin can
乾電池;かんでんち;dry cell, battery
関東;かんとう;Kantou (eastern half of Japan, including Tokyo)
感動;かんどう;being deeply moved, deep emotion, excitement, impression
監督;かんとく;supervision, control, superintendence
観念;かんねん;idea, notion, conception, sense (e.g. of duty), resignation, preparedness, acceptance
乾杯;かんぱい;toast (drink)
頑張る;がんばる;persist, insist on, stand firm, try one's best
看板;かんばん;sign, signboard, doorplate, poster, billboard, appearance, figurehead, policy, attraction, closing time
看病;かんびょう;nursing (a patient)
冠;かんむり;crown, cap, first, best, peerless, naming, designating, top kanji radical
管理;かんり;control, management (e.g. of a business)
完了;かんりょう;completion, conclusion
関連;かんれん;relation, connection, relevance 
漢和;かんわ;Chinese-Japanese (e.g. dictionary) 
~期;~き;period, time
~器;~き;utensil, vessel
~機;~き;device, machine
気圧;きあつ;atmospheric pressure
黄色;きいろ;the color yellow (noun)
議員;ぎいん;member of the Diet, congress or parliament
記憶;きおく;memory, recollection, remembrance
気温;きおん;temperature
機械;きかい;machine, mechanism
器械;きかい;instrument
議会;ぎかい;Diet, congress, parliament
着替え;きがえ;changing clothes, change of clothes
着替える;きがえる;change one's clothes
期間;きかん;period, term
機関;きかん;organ, mechanism, facility, engine
機関車;きかんしゃ;locomotive, engine
企業;きぎょう;enterprise, undertaking
飢饉;ききん;famine
効く;きく;be effective
器具;きぐ;utensil
期限;きげん;term, period
機嫌;きげん;humour, temper, mood 
気候;きこう;climate
記号;きごう;symbol, code
刻む;きざむ;mince,  chop up, carve, engrave, cut fine, hash, chisel, notch
岸;きし;bank, shore, coast
生地;きじ;cloth, material, texture, one's true character, unglazed pottery
記事;きじ;article, news story, report, account
技師;ぎし;engineer, technician
儀式;ぎしき;ceremony, rite, ritual, service
記者;きしゃ;reporter
基準,規準;きじゅん;standard, basis, criteria, norm 
起床;きしょう;rising, getting out of bed
傷;きず;wound, injury, hurt, cut, gash, bruise, scratch, scar, weak point
着せる;きせる;put on clothes
基礎;きそ;foundation, basis
期待;きたい;expectation, anticipation, hope
気体;きたい;vapour, gas
帰宅;きたく;returning home
基地;きち;base
貴重;きちょう;precious, valuable
議長;ぎちょう;chairman
きちんと;きちんと;precisely, accurately
きつい;きつい;tight, close, intense
きっかけ;きっかけ;chance, start, cue, excuse, motive, impetus, occasion
気付く;きづく;notice, recognize, become aware of, perceive, realize
ぎっしり;ぎっしり;tightly, fully
気に入る;きにいる;be pleased with, to suit
記入;きにゅう;entry, filling in of forms
記念;きねん;commemoration, memory
機能;きのう;function, faculty
気の毒;きのどく;pitiful, a pity
基盤;きばん;foundation, basis
厳しい;きびしい;severe, strict, rigid, unsparing, relentless, stern, austere, grave, solemn, majestic,intense (cold)
寄付;きふ;contribution, donation 
希望;きぼう;hope, wish, aspiration
基本;きほん;foundation, basis, standard
決まり;きまり;settlement, conclusion, regulation, rule, custom
気味;きみ;sensation, feeling
~気味;~ぎみ;-like, -looking 
奇妙;きみょう;strange, queer, curious
義務;ぎむ;duty, obligation, responsibility
疑問;ぎもん;question, problem, doubt, guess
逆;ぎゃく;reverse, opposite
客席;きゃくせき;guest seating
客間;きゃくま;parlor, guest room
キャプテン;キャプテン;captain
ギャング;ギャング;gangster, gang
キャンパス;キャンパス;campus
キャンプ;キャンプ;camp
旧;きゅう;ex-
級;きゅう;class, grade, rank 
球;きゅう;globe, sphere, ball
休暇;きゅうか;holiday, day off, furlough
休業;きゅうぎょう;closed (e.g. store), business suspended, shutdown, holiday
休憩;きゅうけい;rest, break, recess, intermission
急激;きゅうげき;sudden, precipitous, radical
休講;きゅうこう;lecture cancelled
吸収;きゅうしゅう;absorption, suction, attraction
救助;きゅうじょ;relief, aid, rescue
急速;きゅうそく;rapid (e.g. progress)
休息;きゅうそく;rest, relief, relaxation
急に;きゅうに;suddenly
牛乳;ぎゅうにゅう;cow's milk
給与;きゅうよ;allowance, grant, supply
休養;きゅうよう;rest, break, recreation
給料;きゅうりょう;salary, wages
清い;きよい;clear, pure, noble
器用;きよう;skillful, handy
~教;~きょう;religion, -ism
~行;~ぎょう;action, performance, trip
~業;~ぎょう;work, skill, doing, practice
強化;きょうか;strengthen, intensify, reinforce, solidify
境界;きょうかい;boundary
教科書;きょうかしょ;text book
競技;きょうぎ;game, match, contest
行儀;ぎょうぎ;manners
供給;きょうきゅう;supply, provisions
共産~;きょうさん~;communism
教師;きょうし;classroom teacher
行事;ぎょうじ;event, function
教授;きょうじゅ;teaching, instruction, professor
恐縮;きょうしゅく;shame, very kind of you, sorry to trouble
強調;きょうちょう;emphasis, stress, stressed point
共通;きょうつう;commonness, community
共同;きょうどう;cooperation, association, collaboration, joint
恐怖;きょうふ;be afraid, dread, dismay, terror
教養;きょうよう;culture, education, refinement, cultivation
協力;きょうりょく;cooperation, collaboration
強力;きょうりょく;powerful, strong
行列;ぎょうれつ;line, procession, matrix (mathematics)
許可;きょか;permission, approval
漁業;ぎょぎょう;fishing (industry)
局;きょく;channel (i.e. TV or radio), department, affair, situation
曲線;きょくせん;curve
巨大;きょだい;huge, gigantic, enormous
嫌う;きらう;hate, dislike, loathe
霧;きり;fog, mist
規律;きりつ;order, rules, law
斬る;きる;murder, behead
~きる;~きる;completely ~, finish, dare to ~
布れ;きれ;cloth
切れ;きれ;cloth, piece, cut, chop, strip, slice, scrap
~切れ;~きれ;counter for pieces, strips, slices, etc.
切れる;きれる;be sharp (blade), break (off), snap, wear out, burst, collapse, be injured, be disconnected, be out of, expire, be shrewd, have a sharp mind
記録;きろく;record, minutes, document
議論;ぎろん;argument, discussion, dispute
気を付ける;きをつける;be careful, pay attention
金;きん;metal, money, gold
銀;ぎん;silver
禁煙;きんえん;No Smoking!
金額;きんがく;amount of money
金魚;きんぎょ;goldfish
金庫;きんこ;safe, vault, treasury, provider of funds 
禁止;きんし;prohibition, ban
金銭;きんせん;money, cash
金属;きんぞく;metal
近代;きんだい;present day
緊張;きんちょう;tension, mental strain, nervousness
筋肉;きんにく;muscle, sinew
金融;きんゆう;monetary circulation, credit situation
九;く;nine
句;く;phrase, clause, sentence, passage, paragraph, expression, line, verse, stanza, 17-syllable poem
区域;くいき;limits, boundary, domain, zone, sphere, territory
食う;くう;eat
空~;くう~;air
偶数;ぐうすう;even number
偶然;ぐうぜん;chance, accident, fortuity, unexpectedly, suddenly
空想;くうそう;daydream, fantasy, fancy, vision
空中;くうちゅう;sky, air
クーラー;クーラー;cooler, air conditioner
釘;くぎ;nail
区切る;くぎる;punctuate, cut off, mark off, stop, put an end to 
臭い;くさい;stinking
鎖;くさり;chain
腐る;くさる;rot, go bad
櫛;くし;comb
くしゃみ;くしゃみ;sneeze
苦情;くじょう;complaint, troubles, objection
苦心;くしん;pain, trouble, anxiety, diligence, hard work
屑;くず;waste, scrap
崩す;くずす;destroy, pull down, make change (money)
薬指;くすりゆび;ring finger
崩れる;くずれる;collapse, crumble
癖;くせ;a habit (often a bad habit, i.e. vice), peculiarity
管;くだ;pipe, tube 
具体;ぐたい;concrete, tangible, material
砕く;くだく;break, smash
砕ける;くだける;break, be broken
下さる;くださる;*give (polite);
くたびれる;くたびれる;get tired, wear out
くだらない;くだらない;good-for-nothing, stupid, trivial, worthless
下り;くだり;down-train (going away from Tokyo)
下る;くだる;go down, descend, leave
~口;~くち;entrance or exit, orifice, opening
唇;くちびる;lips
口紅;くちべに;lipstick
苦痛;くつう;pain, agony
くっつく;くっつく;adhere to, keep close to
くっつける;くっつける;attach
ぐっすり;ぐっすり;sound asleep, fast asleep 
くどい;くどい;verbose, importunate, heavy (taste)
句読点;くとうてん;punctuation marks
配る;くばる;deliver, distribute
工夫;くふう;device, scheme
区分;くぶん;division, section, compartment, demarcation, (traffic) lane, classification, sorting
区別;くべつ;distinction, differentiation, classification
組;くみ;class, group, team, set
組合;くみあい;association, union
組合せ;くみあわせ;combination
組み立てる;くみたてる;assemble, set up, construct
組む;くむ;put together
汲む;くむ;draw (water), ladle, dip, scoop, pump, have a drink together, consider, sympathize with
酌む;くむ;serve sake
曇;くもり;cloudiness, cloudy weather, shadow
悔しい;くやしい;regrettable, mortifying, vexing 
悔やむ;くやむ;mourn
位;くらい;grade, rank, court order, dignity, nobility, situation, throne, crown, occupying a position, about, almost, as, rather, at least, enough to
暮らし;くらし;living, livelihood, subsistence, circumstances
クラシック;クラシック;classics
暮らす;くらす;live, get along
グラス;グラス;glass, grass
